,months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,property_damage_YES,police_report_available_YES
870,0.47577525190241254,-1.0527995905419327,-0.4891078143167476,1.0551193094376206,-1.60471359428982,0.9071152191205504,-0.8402133792072178,-0.012987355254005385,-1.3336950527870377,1.5687933401620477,0.0605506741673131,0.8139774657619123,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
861,0.057644034255100306,-0.2268584891753536,-0.4891078143167476,1.7301419263556734,0.9506531277755026,0.7629150465176651,1.122901992772263,-1.2305519103170177,0.46697333531427326,0.17755749209484573,0.20740291206558695,1.5046673184569224,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
319,-1.0486614791034132,-0.2268584891753536,-0.4891078143167476,0.9504366576161043,-1.6685091573926991,1.0513153917234357,-0.8402133792072178,-1.2305519103170177,-0.4333608587363822,1.0196212948723629,1.075929004778235,0.6426191004814151,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
646,-0.3169318482206169,-1.0527995905419327,-0.4891078143167476,0.917948938085289,-1.0908048915166277,-1.6884878877313847,1.122901992772263,1.204577199809007,1.3673075293649286,1.3653962863510534,-0.044343781474311075,1.0000537274468693,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
768,2.0960337202857473,-0.2268584891753536,-0.4891078143167476,0.8890709651690086,-1.2502937992738252,-1.2558873699227289,-0.8402133792072178,1.204577199809007,-1.3336950527870377,-0.06448500194023768,1.4367659321854223,0.6336832348072787,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
81,0.33639817935330846,1.4250237135578045,1.6840607919484227,-0.9121925954839771,0.9506531277755026,-0.24648616170253193,-0.8402133792072178,1.204577199809007,-0.4333608587363822,-1.3641921757924922,-1.2443363540144916,-1.7175007158051872,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
54,-0.09044410532832277,-0.2268584891753536,-0.4891078143167476,0.8060467930347027,-0.45284926048783697,-0.9674870247169584,-0.8402133792072178,-1.2305519103170177,-0.4333608587363822,-1.4008036454784714,-1.4205590394924201,-1.8720386280520158,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
9,0.057644034255100306,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,-0.4422166666373571,0.33031452870900924,-0.8402133792072178,1.204577199809007,-0.4333608587363822,-0.5424680783960747,-0.5352498338771122,-0.23099317895473925,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
66,-0.8570180043483951,-1.0527995905419327,2.553328234454491,0.6544374352242309,-2.28165540277037,0.04191418350323865,-0.8402133792072178,-1.2305519103170177,-0.4333608587363822,1.308445111283975,1.3738292588004477,1.3038731603675056,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
350,0.38866458155922246,-0.2268584891753536,-0.4891078143167476,0.8168760328783078,-1.6507881676418994,1.4839159095320915,-0.8402133792072178,-0.012987355254005385,1.3673075293649286,1.1416595271589594,1.2018023515481842,0.08649287205575247,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
7,-0.3517761163578929,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,1.6281160821349767,1.122901992772263,1.204577199809007,0.46697333531427326,0.4094301334393794,0.44656227092849005,-0.23467265305585422,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
146,0.07506616832373832,-1.0527995905419327,1.2494270706953887,-0.9121925954839771,-1.073083901765828,0.18611435610612392,1.122901992772263,1.204577199809007,-1.3336950527870377,1.1050480574729804,-0.17860868469559002,0.3945174182348057,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
879,1.1552384805792948,-1.0527995905419327,1.2494270706953887,-0.9121925954839771,0.9506531277755026,-1.1116871973198437,-0.8402133792072178,1.204577199809007,-0.4333608587363822,0.4867210138875573,0.5262820572161244,0.09174926362877385,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
792,-0.3169318482206169,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,-0.3536117178833584,-0.3906863343054172,1.122901992772263,-1.2305519103170177,1.3673075293649286,-0.6441666053015719,0.24096913787090668,-0.19419843794358954,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
210,-1.2403049538584314,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,-0.6790866795111877,-0.8402133792072178,1.204577199809007,-1.3336950527870377,-1.2909692364205343,-1.3072730273994662,-1.7458852302995027,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
657,0.4060867156278605,-1.0527995905419327,3.422595676960559,-0.9121925954839771,-0.2295647896277602,0.4745147013118945,1.122901992772263,-1.2305519103170177,1.3673075293649286,0.9179227679668656,-0.27511158388588425,0.22526160958351707,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
730,-0.7786184010395242,-1.0527995905419327,-0.4891078143167476,0.1201949362730448,0.9506531277755026,1.6281160821349767,-0.8402133792072178,-1.2305519103170177,-1.3336950527870377,-0.5994192534631531,0.33327625883553597,-0.3340184537859584,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
429,2.278966128006447,1.4250237135578045,-0.4891078143167476,2.055019121663827,0.9506531277755026,-1.4000875425256143,-0.8402133792072178,1.204577199809007,1.3673075293649286,-0.36551264158050945,0.8157907547870071,0.08912106784226316,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
675,-1.7542579088832526,-1.0527995905419327,1.6840607919484227,-0.9121925954839771,-1.806732877448937,-1.1116871973198437,-0.8402133792072178,-1.2305519103170177,0.46697333531427326,-1.3275807061065132,-1.433146374169415,-1.8058080942319465,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
176,-0.43888678670108294,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,-1.5442877151284995,-0.8402133792072178,-0.012987355254005385,-0.4333608587363822,0.24264454931436397,0.2745353636762264,1.1892838240756392,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
910,0.6935519277603877,1.4250237135578045,-0.4891078143167476,0.7519005938166771,0.9506531277755026,-0.3906863343054172,-0.8402133792072178,-0.012987355254005385,0.46697333531427326,-0.7417971911308492,-0.7408429669346955,-0.5915816408640063,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1
287,0.11862150349533333,-1.0527995905419327,-0.4891078143167476,1.5677033287015967,0.9506531277755026,-0.823286852114073,-0.8402133792072178,-0.012987355254005385,-1.3336950527870377,-1.368260116868712,-1.3869928136871004,-1.6912187579400801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
316,0.5977301903828786,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,1.4839159095320915,1.122901992772263,-0.012987355254005385,1.3673075293649286,1.5728612812382676,1.6465548434686705,1.214514503626142,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
732,-0.9528397417259042,1.4250237135578045,-0.4891078143167476,-0.5512179340304729,0.9506531277755026,-0.3906863343054172,-0.8402133792072178,1.204577199809007,1.3673075293649286,-0.05024720817346806,1.466136379765077,1.0336946335142063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
269,-0.09044410532832277,1.4250237135578045,-0.4891078143167476,1.1742409477172768,-0.9384043796597499,0.33031452870900924,1.122901992772263,1.204577199809007,1.3673075293649286,1.052164823482122,-0.2058812431624123,0.676260006548752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
474,0.34510924638762747,-0.2268584891753536,2.553328234454491,-0.9121925954839771,-1.4912992598847017,1.0513153917234357,-0.8402133792072178,1.204577199809007,0.46697333531427326,-1.378429969559262,-1.2737068015941464,-1.7122443242321659,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
912,-0.2646654460147029,-1.0527995905419327,-0.4891078143167476,0.7085836344422566,-0.9100507960584703,0.4745147013118945,1.122901992772263,1.204577199809007,-0.4333608587363822,-0.7092536625210901,0.10670423464962774,-0.328762062212937,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
464,-1.4145262945448114,-0.2268584891753536,-0.4891078143167476,1.4124842242765898,0.9506531277755026,-1.5442877151284995,1.122901992772263,1.204577199809007,0.46697333531427326,-0.10516441270243657,-0.08420367461812826,0.5600937527849793,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
268,-0.43017571966676393,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,-1.2113076218220657,0.4745147013118945,1.122901992772263,-1.2305519103170177,1.3673075293649286,-0.5607738132390642,-0.5541308358926046,-0.26410844586477394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
816,-0.5695527922158681,-1.0527995905419327,-0.4891078143167476,2.71560275212374,0.9506531277755026,-1.1116871973198437,2.1044596787620033,-1.2305519103170177,-1.3336950527870377,-0.3858523469616089,0.7738329725303574,0.3398509458753833,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
130,0.6499965925887926,-0.2268584891753536,-0.4891078143167476,1.1778506943318119,0.9506531277755026,-1.6884878877313847,1.122901992772263,-0.012987355254005385,0.46697333531427326,1.3735321685034931,1.4409617104110872,1.0084639539637035,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
694,-1.1531942835152413,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.4745147013118945,1.122901992772263,-1.2305519103170177,-1.3336950527870377,-1.4984342313077486,0.8703358717206517,0.4365685508189768,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
882,-1.7107025737116577,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.04191418350323865,-0.8402133792072178,-1.2305519103170177,-1.3336950527870377,1.6704918670675448,1.7472535208846298,0.9059643182897865,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
940,0.8939064695497247,-0.2268584891753536,2.118694513201457,0.7374616073585369,-0.5166448235907161,-0.6790866795111877,-0.8402133792072178,-0.012987355254005385,-0.4333608587363822,-1.3235127650302934,-1.340839253204786,-1.7569236526028476,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
847,0.7283961958976637,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,1.0513153917234357,1.122901992772263,-0.012987355254005385,1.3673075293649286,0.05145131873202916,0.07733378706997296,0.843413258570832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
271,0.5715969892799215,-0.2268584891753536,-0.4891078143167476,1.6579469940649727,0.9506531277755026,-0.823286852114073,-0.8402133792072178,-1.2305519103170177,-1.3336950527870377,-1.3845318811735916,-1.4625168217490698,-1.842602835243096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
239,-0.473731054838359,-0.2268584891753536,-0.4891078143167476,1.0370705763649453,0.9506531277755026,-1.6884878877313847,-0.8402133792072178,-0.012987355254005385,-0.4333608587363822,-0.7804426313549382,-0.7807028600785128,-0.2903904037298809,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
656,-0.8570180043483951,-1.0527995905419327,1.2494270706953887,2.051409375049292,0.9506531277755026,-0.5348865069083025,-0.8402133792072178,-0.012987355254005385,1.3673075293649286,-1.339784529335173,-1.4394400415079125,-1.8168465165352914,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
729,0.32768711231898945,-0.2268584891753536,-0.4891078143167476,-0.2877064311694149,-1.1900424341211062,-1.5442877151284995,-0.8402133792072178,-0.012987355254005385,-1.3336950527870377,0.5477401300308556,-0.4660194931536402,-0.10957053361794522,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
120,0.4322199167308175,1.4250237135578045,1.2494270706953887,-0.9121925954839771,0.9506531277755026,1.4839159095320915,-0.8402133792072178,1.204577199809007,-1.3336950527870377,1.3206489345126347,1.3864165934774426,0.22526160958351707,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
587,2.244121859869171,-0.2268584891753536,-0.4891078143167476,0.9540464042306394,0.9506531277755026,0.33031452870900924,0.14134430678252252,-0.012987355254005385,0.46697333531427326,-0.025839561716148728,1.5164857184730567,0.7035932427284631,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
846,0.6935519277603877,-1.0527995905419327,-0.4891078143167476,1.3655575182876343,-1.8634400446514963,0.18611435610612392,-0.8402133792072178,-1.2305519103170177,1.3673075293649286,-0.4265317577238078,0.6899174080170581,-0.02126315519118594,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
482,-0.7786184010395242,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,-0.30753714453127906,-0.5348865069083025,1.122901992772263,-1.2305519103170177,1.3673075293649286,-0.14991176454085534,-0.1303572351004429,0.47914532256045,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
315,0.4409309837651365,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,-0.449305062537677,0.33031452870900924,-0.8402133792072178,1.204577199809007,-0.4333608587363822,0.03721352496525955,1.6465548434686705,0.8176569398630272,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
442,-0.46501998780403997,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.6187148739147798,-0.8402133792072178,-1.2305519103170177,-1.3336950527870377,-0.19669308691738407,2.506689379729989,0.3945174182348057,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
869,-1.0922168142750084,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,-0.8568878268060711,0.6187148739147798,1.122901992772263,-0.012987355254005385,1.3673075293649286,-0.7438311616689591,0.03537600481332329,-0.40024898760602784,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
460,0.5715969892799215,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.6187148739147798,-0.8402133792072178,1.204577199809007,0.46697333531427326,-0.088892648397557,1.3864165934774426,0.9537974816042811,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
829,-0.9441286746915852,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,-1.60471359428982,-0.24648616170253193,1.122901992772263,1.204577199809007,1.3673075293649286,0.07179102411312861,1.717883073304975,1.2860014290192328,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
842,0.5977301903828786,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,-0.6790866795111877,-0.8402133792072178,1.204577199809007,-0.4333608587363822,-1.3235127650302934,-1.340839253204786,-1.7569236526028476,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
638,-1.4929258978536826,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,-1.1116871973198437,1.122901992772263,-0.012987355254005385,-1.3336950527870377,-0.46517719794789675,-0.45553004758947785,0.17585152879711602,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164,-0.7263519988336101,-1.0527995905419327,-0.4891078143167476,0.46312086465387375,-0.16222502857472118,0.9071152191205504,1.122901992772263,1.204577199809007,-1.3336950527870377,2.1993242069761303,2.2927046902210755,1.3842959514347326,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
983,-1.6410140374371056,-0.2268584891753536,-0.4891078143167476,0.2609750542399114,-1.9130588159537356,-0.3906863343054172,-0.8402133792072178,1.204577199809007,-0.4333608587363822,-1.410973498169021,-1.4310484850565826,-1.8247311038948235,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
243,-0.2733765130490219,1.4250237135578045,-0.4891078143167476,1.008192603448665,-0.9561253694105496,1.3397157369292063,1.122901992772263,1.204577199809007,0.46697333531427326,0.718593655232091,0.7654414160790275,0.3314407193585491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
859,-0.656663462559058,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,-0.49537963588975636,0.6187148739147798,1.122901992772263,1.204577199809007,1.3673075293649286,0.3117995476101021,-0.5876970616979242,-0.08907060648316183,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
230,-0.3430650493235739,-0.2268584891753536,-0.4891078143167476,1.4558011836510103,-1.4664898742335821,0.9071152191205504,-0.8402133792072178,-1.2305519103170177,0.46697333531427326,-0.5058566087100956,-0.4974878298461275,0.3482611723922175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1
